transaction_id,transaction_date,city,product_category,units_sold,revenue,customer_satisfaction
TXN-50000,2026-01-01,New York,Electronics,3,730.1,3
TXN-50001,2026-01-01,Singapore,Electronics,5,1157.6,4
TXN-50002,2026-01-01,New York,Electronics,1,241.4,5
TXN-50003,2026-01-01,New York,Home & Kitchen,5,407.85,5
TXN-50004,2026-01-01,Tokyo,Home & Kitchen,2,175.91,4
TXN-50005,2026-01-01,San Francisco,Electronics,4,1002.08,3
TXN-50006,2026-01-01,London,Fashion,1,64.95,3
TXN-50007,2026-01-01,London,Groceries,5,171.39,3
TXN-50008,2026-01-01,Berlin,Books,1,23.84,4
TXN-50009,2026-01-01,Berlin,Electronics,3,861.62,5
TXN-50010,2026-01-01,Berlin,Groceries,2,77.8,3
TXN-50011,2026-01-01,London,Fashion,1,80.96,3
TXN-50012,2026-01-01,London,Books,4,87.26,4
TXN-50013,2026-01-01,London,Fashion,3,202.2,4
TXN-50014,2026-01-01,Berlin,Electronics,2,530.12,3
TXN-50015,2026-01-01,Tokyo,Fashion,4,274.68,5
TXN-50016,2026-01-01,San Francisco,Home & Kitchen,3,293.98,3
TXN-50017,2026-01-01,New York,Fashion,3,214.27,3
TXN-50018,2026-01-02,Singapore,Home & Kitchen,3,245.77,4
TXN-50019,2026-01-02,Singapore,Books,4,75.43,3
TXN-50020,2026-01-02,Singapore,Fashion,5,371.59,5
TXN-50021,2026-01-02,Tokyo,Home & Kitchen,5,433.42,3
TXN-50022,2026-01-02,Berlin,Fashion,4,259.64,3
TXN-50023,2026-01-02,San Francisco,Electronics,2,568.81,4
TXN-50024,2026-01-02,New York,Home & Kitchen,4,344.93,4
TXN-50025,2026-01-02,London,Home & Kitchen,5,492.25,3
TXN-50026,2026-01-02,Singapore,Electronics,5,1406.58,5
TXN-50027,2026-01-02,New York,Groceries,3,108.2,4
TXN-50028,2026-01-02,Singapore,Electronics,3,893.67,3
TXN-50029,2026-01-03,Singapore,Electronics,3,864.38,5
TXN-50030,2026-01-03,San Francisco,Home & Kitchen,2,172.07,3
TXN-50031,2026-01-03,Berlin,Home & Kitchen,1,91.77,4
TXN-50032,2026-01-03,New York,Electronics,3,872.71,4
TXN-50033,2026-01-03,New York,Fashion,2,162.88,3
TXN-50034,2026-01-03,Singapore,Electronics,4,1144.81,5
TXN-50035,2026-01-03,San Francisco,Fashion,4,331.54,3
TXN-50036,2026-01-03,Berlin,Groceries,5,179.71,3
TXN-50037,2026-01-03,Singapore,Home & Kitchen,2,189.36,4
TXN-50038,2026-01-03,Tokyo,Groceries,5,181.2,3
TXN-50039,2026-01-03,New York,Fashion,3,190.33,5
TXN-50040,2026-01-03,Berlin,Fashion,2,126.3,5
TXN-50041,2026-01-03,San Francisco,Electronics,1,292.91,4
TXN-50042,2026-01-03,Berlin,Electronics,2,491.77,4
TXN-50043,2026-01-03,Berlin,Fashion,2,156.38,5
TXN-50044,2026-01-03,Tokyo,Home & Kitchen,2,193.02,4
TXN-50045,2026-01-04,New York,Electronics,4,1006.29,4
TXN-50046,2026-01-04,Singapore,Books,1,22.04,5
TXN-50047,2026-01-04,New York,Electronics,4,1118.46,3
TXN-50048,2026-01-04,San Francisco,Fashion,2,148.52,3
TXN-50049,2026-01-04,San Francisco,Books,3,62.33,3
TXN-50050,2026-01-04,Berlin,Books,1,18.3,5
TXN-50051,2026-01-04,New York,Electronics,2,474.95,4
TXN-50052,2026-01-04,San Francisco,Books,4,93.66,3
TXN-50053,2026-01-04,New York,Books,4,78.36,4
TXN-50054,2026-01-04,Tokyo,Groceries,5,192.25,4
TXN-50055,2026-01-04,San Francisco,Fashion,3,202.72,3
TXN-50056,2026-01-05,New York,Home & Kitchen,3,233.87,5
TXN-50057,2026-01-05,Berlin,Books,5,94.72,5
TXN-50058,2026-01-05,San Francisco,Electronics,1,269.63,5
TXN-50059,2026-01-05,Tokyo,Fashion,1,82.77,5
TXN-50060,2026-01-05,Berlin,Fashion,5,319.17,3
TXN-50061,2026-01-05,Singapore,Books,5,106.96,4
TXN-50062,2026-01-05,San Francisco,Groceries,3,102.02,4
TXN-50063,2026-01-05,Singapore,Fashion,3,217.81,3
TXN-50064,2026-01-05,Tokyo,Electronics,5,1499.42,3
TXN-50065,2026-01-05,Berlin,Electronics,2,525.88,3
TXN-50066,2026-01-05,New York,Groceries,2,70.76,3
TXN-50067,2026-01-05,Berlin,Books,3,65.01,5
TXN-50068,2026-01-05,New York,Home & Kitchen,5,420.67,5
TXN-50069,2026-01-05,San Francisco,Electronics,3,700.97,3
TXN-50070,2026-01-05,San Francisco,Home & Kitchen,3,251.05,3
TXN-50071,2026-01-05,San Francisco,Groceries,3,110.42,4
TXN-50072,2026-01-05,New York,Electronics,4,1148.8,3
TXN-50073,2026-01-06,San Francisco,Groceries,3,99.59,4
TXN-50074,2026-01-06,Singapore,Home & Kitchen,4,363.21,3
TXN-50075,2026-01-06,Singapore,Electronics,2,531.84,4
TXN-50076,2026-01-06,Berlin,Home & Kitchen,2,174.92,3
TXN-50077,2026-01-06,London,Groceries,1,40.94,3
TXN-50078,2026-01-06,Singapore,Fashion,1,70.43,5
TXN-50079,2026-01-06,Berlin,Books,2,47.11,3
TXN-50080,2026-01-06,San Francisco,Fashion,4,254.08,5
TXN-50081,2026-01-07,Singapore,Books,2,39.2,5
TXN-50082,2026-01-07,Tokyo,Electronics,1,289.39,3
TXN-50083,2026-01-07,Tokyo,Fashion,3,208.23,3
TXN-50084,2026-01-07,New York,Fashion,2,142.74,4
TXN-50085,2026-01-07,London,Electronics,3,819.33,4
TXN-50086,2026-01-07,London,Home & Kitchen,1,79.44,4
TXN-50087,2026-01-07,Berlin,Fashion,3,191.41,5
TXN-50088,2026-01-07,London,Books,3,61.86,5
TXN-50089,2026-01-07,Tokyo,Electronics,5,1196.28,3
TXN-50090,2026-01-07,New York,Books,5,117.77,5
TXN-50091,2026-01-07,London,Fashion,4,257.88,5
TXN-50092,2026-01-07,Berlin,Groceries,3,115.4,3
TXN-50093,2026-01-07,Berlin,Groceries,3,115.51,4
TXN-50094,2026-01-08,Berlin,Groceries,2,67.03,5
TXN-50095,2026-01-08,Singapore,Books,2,43.39,4
TXN-50096,2026-01-08,Berlin,Books,1,19.82,3
TXN-50097,2026-01-08,Berlin,Books,5,109.64,4
TXN-50098,2026-01-08,Tokyo,Books,2,42.13,5
TXN-50099,2026-01-08,Singapore,Fashion,1,68.96,5
TXN-50100,2026-01-08,London,Home & Kitchen,1,97.37,3
TXN-50101,2026-01-08,San Francisco,Groceries,2,66.09,3
TXN-50102,2026-01-08,Tokyo,Fashion,5,404.22,3
TXN-50103,2026-01-08,Tokyo,Books,5,95.83,5
TXN-50104,2026-01-08,Tokyo,Books,4,77.86,5
TXN-50105,2026-01-08,New York,Electronics,4,965.65,5
TXN-50106,2026-01-08,Tokyo,Home & Kitchen,1,90.71,3
TXN-50107,2026-01-08,San Francisco,Books,4,88.02,5
TXN-50108,2026-01-09,Tokyo,Groceries,5,200.29,5
TXN-50109,2026-01-09,Berlin,Books,4,93.53,5
TXN-50110,2026-01-09,Tokyo,Books,3,67.53,5
TXN-50111,2026-01-09,Berlin,Groceries,4,152.32,4
TXN-50112,2026-01-09,New York,Books,3,58.22,4
TXN-50113,2026-01-09,Berlin,Groceries,1,32.95,3
TXN-50114,2026-01-09,Singapore,Books,2,44.48,3
TXN-50115,2026-01-09,Tokyo,Books,3,63.77,4
TXN-50116,2026-01-09,San Francisco,Electronics,4,1016.84,5
TXN-50117,2026-01-09,Berlin,Electronics,4,1043.09,4
TXN-50118,2026-01-09,Tokyo,Groceries,4,148.61,5
TXN-50119,2026-01-09,Berlin,Home & Kitchen,2,177.9,4
TXN-50120,2026-01-09,Tokyo,Books,1,20.33,5
TXN-50121,2026-01-09,Singapore,Books,2,46.09,3
TXN-50122,2026-01-09,Berlin,Home & Kitchen,1,99.63,5
TXN-50123,2026-01-09,Singapore,Home & Kitchen,1,78.64,4
TXN-50124,2026-01-09,Tokyo,Fashion,2,128.11,4
TXN-50125,2026-01-10,Tokyo,Fashion,3,210.26,4
TXN-50126,2026-01-10,Tokyo,Groceries,3,120.8,4
TXN-50127,2026-01-10,Singapore,Electronics,5,1144.53,4
TXN-50128,2026-01-10,Singapore,Fashion,1,79.41,5
TXN-50129,2026-01-10,New York,Electronics,2,479.9,3
TXN-50130,2026-01-10,San Francisco,Home & Kitchen,2,159.44,5
TXN-50131,2026-01-10,Berlin,Electronics,2,519.76,4
TXN-50132,2026-01-10,San Francisco,Groceries,5,189.38,5
TXN-50133,2026-01-10,San Francisco,Electronics,3,699.32,3
TXN-50134,2026-01-10,Berlin,Groceries,4,142.66,5
TXN-50135,2026-01-10,New York,Fashion,5,387.51,5
TXN-50136,2026-01-10,New York,Fashion,3,242.57,5
TXN-50137,2026-01-10,Berlin,Electronics,1,251.04,4
TXN-50138,2026-01-11,New York,Groceries,5,191.5,3
TXN-50139,2026-01-11,Tokyo,Books,1,20.6,4
TXN-50140,2026-01-11,Singapore,Books,2,41.23,5
TXN-50141,2026-01-11,Singapore,Home & Kitchen,3,276.62,5
TXN-50142,2026-01-11,Tokyo,Books,4,91.82,5
TXN-50143,2026-01-11,London,Groceries,2,80.45,3
TXN-50144,2026-01-11,Tokyo,Groceries,2,78.76,5
TXN-50145,2026-01-11,Singapore,Home & Kitchen,4,340.31,4
TXN-50146,2026-01-11,San Francisco,Groceries,4,134.91,4
TXN-50147,2026-01-11,London,Groceries,5,194.31,4
TXN-50148,2026-01-11,New York,Home & Kitchen,5,503.38,3
TXN-50149,2026-01-11,Singapore,Fashion,4,293.04,3
TXN-50150,2026-01-11,Singapore,Books,4,82.76,3
TXN-50151,2026-01-11,London,Electronics,2,510.66,3
TXN-50152,2026-01-11,Singapore,Groceries,5,176.87,5
TXN-50153,2026-01-11,London,Home & Kitchen,4,407.66,5
TXN-50154,2026-01-11,London,Groceries,4,137.38,4
TXN-50155,2026-01-11,New York,Fashion,2,139.25,5
TXN-50156,2026-01-12,San Francisco,Fashion,2,157.02,4
TXN-50157,2026-01-12,Berlin,Home & Kitchen,5,418.58,3
TXN-50158,2026-01-12,London,Fashion,2,141.16,4
TXN-50159,2026-01-12,Singapore,Electronics,5,1172.47,3
TXN-50160,2026-01-12,Berlin,Electronics,3,831.92,3
TXN-50161,2026-01-12,New York,Books,1,21.44,4
TXN-50162,2026-01-12,Tokyo,Books,3,57.32,3
TXN-50163,2026-01-12,Tokyo,Groceries,1,40.13,4
TXN-50164,2026-01-12,New York,Books,5,108.88,3
TXN-50165,2026-01-12,San Francisco,Fashion,5,414.66,3
TXN-50166,2026-01-12,New York,Fashion,5,395.27,5
TXN-50167,2026-01-12,Berlin,Home & Kitchen,2,192.56,4
TXN-50168,2026-01-12,Tokyo,Books,3,69.48,4
TXN-50169,2026-01-12,Berlin,Groceries,5,160.66,5
TXN-50170,2026-01-12,San Francisco,Electronics,2,489.7,3
TXN-50171,2026-01-12,San Francisco,Fashion,2,149.18,3
TXN-50172,2026-01-13,Tokyo,Books,5,104.1,3
TXN-50173,2026-01-13,London,Fashion,3,233.29,4
TXN-50174,2026-01-13,Singapore,Electronics,2,588.59,5
TXN-50175,2026-01-13,Singapore,Home & Kitchen,2,174.68,5
TXN-50176,2026-01-13,Singapore,Fashion,2,164.15,3
